Name,State,YEAR,Region_type,FAH,FAFH,Total nominal food sales,FAH.1,FAFH.1,Total constant dollar food sales,NUMBER_OF_EVENTS,DAMAGE_PROPERTY,DAMAGE_CROPS,diversity,tons,FAH_diff,FAH_percent_change,FAFH_diff,FAFH_percent_change,Total nominal food sales_diff,Total nominal food sales_percent_change,Total constant dollar food sales_diff,Total constant dollar food sales_percent_change,NUMBER_OF_EVENTS_diff,NUMBER_OF_EVENTS_percent_change,DAMAGE_PROPERTY_diff,DAMAGE_PROPERTY_percent_change,DAMAGE_CROPS_diff,DAMAGE_CROPS_percent_change,diversity_diff,diversity_percent_change,tons_diff,tons_percent_change
Albany,NEW YORK,2014,CSA,41189.13,44451.83,85640.96,"20,056.52","21,745.57",41802.08,1782,93322500.0,125000.0,0.614710781730093,914.5611,1337.699999999997,3.3567176886751593,2508.8700000000026,5.981623614546994,3846.5800000000017,4.70274363593195,915.9900000000052,2.2403462889212467,23.0,1.307561114269462,27574500.0,41.93967877349883,-34000.0,-21.383647798742132,0.01287874275512968,2.139923088352802,85.22349999999994,10.276092631034683
Albany,NEW YORK,2015,CSA,41848.34,48065.68,89914.02,"20,142.48","22,859.73",43002.21,1272,32502250.0,5000.0,0.6174772491451246,932.2663,659.2099999999991,1.6004465255760492,3613.8499999999985,8.129811528569242,4273.059999999998,4.989505021896057,1200.1299999999974,2.8709815396745775,-510.0,-28.619528619528623,-60820250.0,-65.17211819229017,-120000.0,-96.0,0.002766467415031615,0.45004374370096745,17.70519999999999,1.9359231438992985
Albertville,ALABAMA,2013,CSA,10204.54,7899.0,18103.54,"5,087.67","3,958.14",9045.82,935,8394450.0,6000.0,0.7261832659705807,4362.7272077704365,371.9400000000005,3.78272277932592,398.77999999999975,5.316910703952682,770.7200000000012,4.44659322603016,260.6999999999989,2.967517802830222,-788.0,-45.7341845618108,949400.0,12.752097030913156,1000.0,19.999999999999996,-0.004045832431927132,-0.5540497414822321,104.56310908515934,2.4555913455154066
Albertville,ALABAMA,2014,CSA,10592.28,8547.42,19139.7,"5,157.77","4,181.35",9339.12,890,38215160.0,0.0,0.7366827084014219,4421.082888931842,387.7399999999998,3.7996813183151845,648.4200000000001,8.208887200911509,1036.1599999999999,5.723521477014981,293.3000000000011,3.2423815640815423,-45.0,-4.8128342245989275,29820710.0,355.24316661603797,-6000.0,-100.0,0.010499442430841222,1.4458392148169574,58.3556811614053,1.3375963791059098
Albertville,ALABAMA,2015,CSA,10961.59,9236.09,20197.68,"5,276.04","4,392.62",9668.67,892,14794500.0,0.0,0.7362627195728422,4467.478134639569,369.3099999999995,3.4865958981446843,688.6700000000001,8.057051133558435,1057.9799999999996,5.527672847536791,329.5499999999993,3.5287050600056435,2.0,0.22471910112360494,-23420660.0,-61.28630627217052,0.0,,-0.0004199888285797426,-0.057010816704394784,46.395245707727554,1.0494090898833353
Albuquerque,NEW MEXICO,2013,CSA,4012.37,3509.84,7522.2,"2,000.44","1,758.76",3759.2,1387,20613300.0,4500.0,0.5966611695465716,309.75200439748176,34.88999999999987,0.8771885716584382,227.71000000000004,6.937872661960376,262.59000000000015,3.617136457743597,78.44999999999982,2.1313590980099217,229.0,19.7754749568221,-14218710.0,-40.820813958195345,-4998010.0,-99.91004515733101,-0.009320455376100822,-1.538075577339526,19.85754164213762,6.849920986209512
Albuquerque,NEW MEXICO,2014,CSA,4028.11,3984.94,8013.05,"1,961.43","1,949.41",3910.84,1238,6051600.0,50000.0,0.6083351006900533,305.3819591755286,15.740000000000236,0.3922868529073975,475.0999999999999,13.536229571718362,490.85000000000036,6.525351625854148,151.64000000000033,4.033836986592898,-149.0,-10.742609949531367,-14561700.0,-70.6422552429742,45500.0,1011.1111111111111,0.011673931143481697,1.956542798378047,-4.3700452219531485,-1.4108206435834325
Albuquerque,NEW MEXICO,2015,CSA,4016.79,4465.78,8482.57,"1,933.37","2,123.90",4057.26,814,410924700.0,5000.0,0.6072815052200854,308.2823050803692,-11.320000000000164,-0.28102509613689985,480.8399999999997,12.066430109361747,469.5199999999995,5.8594417855872605,146.42000000000007,3.743952705812559,-424.0,-34.24878836833602,404873100.0,6690.348007138608,-45000.0,-90.0,-0.0010535954699678607,-0.17319327271642093,2.9003459048406057,0.9497436956233285
Alexandria,LOUISIANA,2013,MSA,10167.75,9566.09,19733.83,"5,069.33","4,793.51",9862.84,586,268151300.0,100000.0,0.5024726658584354,404.15640706596656,-240.1200000000008,-2.3071003000614043,472.39999999999964,5.194810907343439,232.26000000000204,1.190981033834726,-27.219999999999345,-0.27522583280585877,-219.0,-27.204968944099384,-542498600.0,-66.9214416729096,99000.0,9900.0,-0.002047589995588739,-0.40584891722983407,-1.2745329772929495,-0.31436500064769834
Alexandria,LOUISIANA,2014,MSA,10418.34,10529.43,20947.78,"5,073.08","5,150.94",10224.01,610,10236800.0,10000.0,0.517201247413526,437.27744381308,250.59000000000015,2.464557055395744,963.3400000000001,10.070363126418425,1213.949999999997,6.1516188190533505,361.1700000000001,3.661926990603104,24.0,4.095563139931735,-257914500.0,-96.18245371176646,-90000.0,-90.0,0.014728581555090603,2.9312204535400843,33.121036747113465,8.195103719265662
Alexandria,LOUISIANA,2015,MSA,10121.43,11320.28,21441.71,"4,871.66","5,383.85",10255.51,752,20973000.0,1715000.0,0.5174160907639166,446.0300225147724,-296.90999999999985,-2.8498781955666574,790.8500000000004,7.510852914165356,493.9300000000003,2.357910957628917,31.5,0.3080982902011975,142.0,23.278688524590162,10736200.0,104.8784776492654,1705000.0,17050.0,0.00021484335039057,0.041539604064189106,8.752578701692357,2.001607635045022
Alexandria,WEST VIRGINIA,2013,MSA,3638.8,2934.56,6573.36,"1,814.20","1,470.49",3284.69,759,9586250.0,17600.0,0.6860520823731915,1686.4984294210133,-90.36999999999989,-2.4233274428357987,116.7199999999998,4.14217982568208,26.349999999999454,0.4024738010175444,-33.51999999999998,-1.0101832011837675,-100.0,-11.64144353899884,-92943700.0,-90.65029291441184,-12400.0,-41.333333333333336,-0.002125684853690246,-0.3088860109875413,-72.52427555394502,-4.122986892029767
Alexandria,WEST VIRGINIA,2014,MSA,3600.98,3107.25,6708.23,"1,753.45","1,520.05",3273.5,1056,10330200.0,85000.0,0.6603623280719038,1866.96287182586,-37.820000000000164,-1.0393536330658537,172.69000000000005,5.884698217109219,134.8699999999999,2.0517665242737237,-11.190000000000055,-0.34067141800291356,297.0,39.13043478260869,743950.0,7.760594601642978,67400.0,382.95454545454544,-0.025689754301287726,-3.7445778478540137,180.46444240484675,10.700540199542408
