ID,State_FIPS,Name,Region_type,State,diversity_2012,diversity_2013,diversity_2014,diversity_2015
101,1,Anniston,MSA,Alabama,0.633608383884581,0.6306152021622281,0.6454936863265026,0.6386241023734112
101,1,Oxford,MSA,Alabama,0.633608383884581,0.6306152021622281,0.6454936863265026,0.6386241023734112
101,1,Jacksonville,MSA,Alabama,0.633608383884581,0.6306152021622281,0.6454936863265026,0.6386241023734112
102,1,Birmingham,CSA,Alabama,0.5566801015352665,0.5412139251914612,0.5513314661788813,0.549209704958835
102,1,Hoover,CSA,Alabama,0.5566801015352665,0.5412139251914612,0.5513314661788813,0.549209704958835
102,1,Talladega,CSA,Alabama,0.5566801015352665,0.5412139251914612,0.5513314661788813,0.549209704958835
103,1,Chattanooga,CSA,Alabama,0.7363873148379985,0.7275287901343692,0.7450823487521887,0.7438011247487074
103,1,Cleveland,CSA,Alabama,0.7363873148379985,0.7275287901343692,0.7450823487521887,0.7438011247487074
103,1,Dalton,CSA,Alabama,0.7363873148379985,0.7275287901343692,0.7450823487521887,0.7438011247487074
104,1,Columbus,CSA,Alabama,0.739540375472917,0.7386247560770284,0.7504840374022529,0.7464955525451153
104,1,Auburn,CSA,Alabama,0.739540375472917,0.7386247560770284,0.7504840374022529,0.7464955525451153
104,1,Opelika,CSA,Alabama,0.739540375472917,0.7386247560770284,0.7504840374022529,0.7464955525451153
105,1,Dothan,CSA,Alabama,0.690809373038925,0.6920179276734245,0.7005864400184658,0.6933824045803116
105,1,Enterprise,CSA,Alabama,0.690809373038925,0.6920179276734245,0.7005864400184658,0.6933824045803116
105,1,Ozark,CSA,Alabama,0.690809373038925,0.6920179276734245,0.7005864400184658,0.6933824045803116
106,1,Florence,MSA,Alabama,0.7996737447738184,0.7923115221926719,0.8008818141117674,0.8004581650637347
106,1,Muscle Shoals,MSA,Alabama,0.7996737447738184,0.7923115221926719,0.8008818141117674,0.8004581650637347
107,1,Gadsden,MSA,Alabama,0.6321998952002099,0.6290907194089776,0.644031913049573,0.6371571915152963
108,1,Huntsville,CSA,Alabama,0.7302290984025078,0.7261832659705807,0.7366827084014219,0.7362627195728422
108,1,Decatur,CSA,Alabama,0.7302290984025078,0.7261832659705807,0.7366827084014219,0.7362627195728422
108,1,Albertville,CSA,Alabama,0.7302290984025078,0.7261832659705807,0.7366827084014219,0.7362627195728422
109,1,Mobile,CSA,Alabama,0.4459427265044571,0.4471935398061026,0.4432109088080301,0.4415992899581836
109,1,Daphne,CSA,Alabama,0.4459427265044571,0.4471935398061026,0.4432109088080301,0.4415992899581836
109,1,Fairhope,CSA,Alabama,0.4459427265044571,0.4471935398061026,0.4432109088080301,0.4415992899581836
110,1,Montgomery,MSA,Alabama,0.7305151189551922,0.727550423803391,0.7384990576746266,0.7321292050949304
111,1,Tuscaloosa,MSA,Alabama,0.5761099685486557,0.5737301522915825,0.5811911323165208,0.5818696572209274
199,1,Remainder of Alabama,RS,Alabama,0.6931641692885353,0.6928697048384965,0.6888285742610114,0.6904993052952562
401,4,Flagstaff,MSA,Arizona,0.47109977414239146,0.48035266498970364,0.4923229872279612,0.4879679205391887
402,4,Las Vegas,CSA,Arizona,0.39166924152140203,0.3852767102283114,0.3921242322848493,0.3939155018966649
402,4,Henderson,CSA,Arizona,0.39166924152140203,0.3852767102283114,0.3921242322848493,0.3939155018966649
403,4,Phoenix,MSA,Arizona,0.6409682296719201,0.6249472790971944,0.6390114649336196,0.6364410730412061
403,4,Mesa,MSA,Arizona,0.6409682296719201,0.6249472790971944,0.6390114649336196,0.6364410730412061
403,4,Scottsdale,MSA,Arizona,0.6409682296719201,0.6249472790971944,0.6390114649336196,0.6364410730412061
404,4,Prescott,MSA,Arizona,0.3625768261251481,0.3692378383364988,0.3727299633937463,0.3746487605263097
405,4,Sierra Vista,MSA,Arizona,0.41006188846275565,0.40756697123485813,0.40504484371952837,0.40361330484942387
405,4,Douglas,MSA,Arizona,0.41006188846275565,0.40756697123485813,0.40504484371952837,0.40361330484942387
406,4,Tucson,CSA,Arizona,0.35998496951465364,0.34922833092564465,0.34734722051171973,0.3463563640222104
406,4,Nogales,CSA,Arizona,0.35998496951465364,0.34922833092564465,0.34734722051171973,0.3463563640222104
407,4,Yuma,MSA,Arizona,0.41543247799930266,0.4136475356649818,0.4105892357158419,0.4088496792018141
499,4,Remainder of Arizona,RS,Arizona,0.4659968756458189,0.4719208923684592,0.4746438549751837,0.4727137617474784
501,5,Fayetteville,MSA,Missouri,0.6887034105464258,0.6706635536659671,0.6806445019621843,0.6880888975536087
501,5,Springdale,MSA,Missouri,0.6887034105464258,0.6706635536659671,0.6806445019621843,0.6880888975536087
501,5,Rogers,MSA,Missouri,0.6887034105464258,0.6706635536659671,0.6806445019621843,0.6880888975536087
502,5,Fort Smith,MSA,Oklahoma,0.6926399096488431,0.674603384088996,0.695747975344253,0.6943334014398804
503,5,Hot Springs,CSA,Arkansas,0.6062683544261589,0.5805742004266863,0.606208298978869,0.6044743621948205
503,5,Malvern,CSA,Arkansas,0.6062683544261589,0.5805742004266863,0.606208298978869,0.6044743621948205
504,5,Jonesboro,CSA,Arkansas,0.5947163993501743,0.5716914865664832,0.5906173357649057,0.59242354509865
504,5,Paragould,CSA,Arkansas,0.5947163993501743,0.5716914865664832,0.5906173357649057,0.59242354509865
505,5,Little Rock,CSA,Arkansas,0.6214709032808982,0.5958351175428256,0.6216940738168366,0.6181270138847145
505,5,North Little Rock,CSA,Arkansas,0.6214709032808982,0.5958351175428256,0.6216940738168366,0.6181270138847145
