ID,State_FIPS,Name,Region_type,State
1602,16,Rexburg,CSA,Idaho
1602,16,Blackfoot,CSA,Idaho
1603,16,Lewiston,MSA,Washington
1604,16,Logan,MSA,Idaho
1605,16,Pocatello,MSA,Idaho
1606,16,Pullman,CSA,Idaho
1606,16,Moscow,CSA,Idaho
1607,16,Spokane,CSA,Idaho
1607,16,Spokane Valley,CSA,Idaho
1607,16,Coeur d'Alene,CSA,Idaho
1699,16,Remainder of Idaho,RS,Idaho
1701,17,Bloomington,CSA,Illinois
1701,17,Pontiac,CSA,Illinois
1702,17,Cape Girardeau,CSA,Illinois
1702,17,Sikeston,CSA,Illinois
1703,17,Carbondale,MSA,Illinois
1703,17,Marion,MSA,Illinois
1704,17,Champaign,MSA,Illinois
1704,17,Urbana,MSA,Illinois
1705,17,Chicago,CSA,Wisconsin
1705,17,Naperville,CSA,Wisconsin
1706,17,Danville,MSA,Illinois
1708,17,Decatur,MSA,Illinois
1709,17,Dixon,CSA,Illinois
1709,17,Sterling,CSA,Illinois
1710,17,Paducah,CSA,Illinois
1710,17,Mayfield,CSA,Illinois
1711,17,Peoria,CSA,Illinois
1711,17,Canton,CSA,Illinois
1712,17,Quincy,CSA,Missouri
1712,17,Hannibal,CSA,Missouri
1713,17,Rockford,CSA,Illinois
1713,17,Freeport,CSA,Illinois
1713,17,Rochelle,CSA,Illinois
1714,17,Springfield,CSA,Illinois
1714,17,Jacksonville,CSA,Illinois
1714,17,Lincoln,CSA,Illinois
1715,17,St. Louis,CSA,Illinois
1715,17,St. Charles,CSA,Illinois
1715,17,Farmington,CSA,Illinois
1799,17,Remainder of Illinois,RS,Illinois
1801,18,Bloomington,CSA,Indiana
1801,18,Bedford,CSA,Indiana
1803,18,Cincinnati,CSA,Indiana
1803,18,Wilmington,CSA,Indiana
1803,18,Maysville,CSA,Indiana
1804,18,Evansville,MSA,Kentucky
1805,18,Fort Wayne,CSA,Indiana
1805,18,Huntington,CSA,Indiana
1805,18,Auburn,CSA,Indiana
1806,18,Indianapolis,CSA,Indiana
1806,18,Carmel,CSA,Indiana
1806,18,Muncie,CSA,Indiana
1807,18,Kokomo,CSA,Indiana
1807,18,Peru,CSA,Indiana
1808,18,Lafayette,CSA,Indiana
1808,18,West Lafayette,CSA,Indiana
1808,18,Frankfort,CSA,Indiana
1809,18,Louisville/Jefferson County,CSA,Indiana
1809,18,,CSA,Indiana
1809,18,Elizabethtown,CSA,Indiana
1809,18,,CSA,Indiana
1809,18,Madison,CSA,Indiana
1810,18,Richmond,CSA,Indiana
1810,18,Connersville,CSA,Indiana
1811,18,South Bend,CSA,Michigan
1811,18,Elkhart,CSA,Michigan
1811,18,Mishawaka,CSA,Michigan
1812,18,Terre Haute,MSA,Indiana
1899,18,Remainder of Indiana,RS,Indiana
1901,19,Cedar Rapids,CSA,Iowa
1901,19,Iowa City,CSA,Iowa
1902,19,Davenport,CSA,Illinois
1902,19,Moline,CSA,Illinois
1903,19,Des Moines,CSA,Iowa
1903,19,Ames,CSA,Iowa
1903,19,West Des Moines,CSA,Iowa
1904,19,Dubuque,MSA,Iowa
1905,19,Omaha,CSA,Iowa
1905,19,Council Bluffs,CSA,Iowa
1905,19,Fremont,CSA,Iowa
1906,19,Sioux City,CSA,Nebraska
1906,19,Vermillion,CSA,Nebraska
1907,19,Waterloo,MSA,Iowa
1907,19,Cedar Falls,MSA,Iowa
1999,19,Remainder of Iowa,RS,Iowa
2001,20,Kansas City,CSA,Kansas
2001,20,Overland Park,CSA,Kansas
2001,20,Kansas City,CSA,Kansas
2002,20,Manhattan,CSA,Kansas
2002,20,Junction City,CSA,Kansas
2003,20,Topeka,MSA,Kansas
2004,20,Wichita,CSA,Kansas
2004,20,Arkansas City,CSA,Kansas
2004,20,Winfield,CSA,Kansas
2099,20,Remainder of Kansas,RS,Kansas
2101,21,Bowling Green,CSA,Kentucky
2101,21,Glasgow,CSA,Kentucky
2102,21,Charleston,CSA,Kentucky
2102,21,Huntington,CSA,Kentucky
2102,21,Ashland,CSA,Kentucky
2104,21,Clarksville,MSA,Kentucky
2106,21,Lexington,CSA,Kentucky
2106,21,Fayette,CSA,Kentucky
2106,21,,CSA,Kentucky
2106,21,Richmond,CSA,Kentucky
2106,21,,CSA,Kentucky
2106,21,Frankfort,CSA,Kentucky
2108,21,Martin,CSA,Kentucky
2108,21,Union City,CSA,Kentucky
2109,21,Owensboro,MSA,Kentucky
2199,21,Remainder of Kentucky,RS,Kentucky
2201,22,Alexandria,MSA,Louisiana
2202,22,Baton Rouge,MSA,Louisiana
2203,22,DeRidder,CSA,Louisiana
