STATE,YEAR,NUMBER_OF_EVENTS,DAMAGE_PROPERTY,DAMAGE_CROPS
MAINE,2014,388,3687000.0,0.0
MAINE,2015,441,988500.0,50000.0
MARYLAND,2012,1073,47899720.0,5000.0
MARYLAND,2013,629,444500.0,153850.0
MARYLAND,2014,977,5836000.0,120750.0
MARYLAND,2015,878,1687000.0,2000.0
MASSACHUSETTS,2012,453,26188000.0,0.0
MASSACHUSETTS,2013,455,30760900.0,0.0
MASSACHUSETTS,2014,541,11819000.0,0.0
MASSACHUSETTS,2015,605,5497500.0,0.0
MICHIGAN,2012,992,44273220.0,152800000.0
MICHIGAN,2013,1216,197171500.0,5000.0
MICHIGAN,2014,1214,1880374000.0,0.0
MICHIGAN,2015,878,79924000.0,0.0
MINNESOTA,2012,1777,58297700.0,2545000.0
MINNESOTA,2013,1836,112088200.0,2040000.0
MINNESOTA,2014,1799,47553200.0,538000.0
MINNESOTA,2015,1231,5607900.0,211000.0
MISSISSIPPI,2012,1071,39111200.0,16500.0
MISSISSIPPI,2013,661,609917000.0,0.0
MISSISSIPPI,2014,899,212068580.0,10190000.0
MISSISSIPPI,2015,863,20230160.0,8843600.0
MISSOURI,2012,2351,42977950.0,164404000.0
MISSOURI,2013,1979,95535500.0,445000.0
MISSOURI,2014,1698,7135500.0,165000.0
MISSOURI,2015,2477,323680000.0,7510000.0
MONTANA,2012,1028,2341400.0,244300.0
MONTANA,2013,1672,1197600.0,126500.0
MONTANA,2014,1311,2750500.0,50000.0
MONTANA,2015,787,4423500.0,0.0
NEBRASKA,2012,1963,284836000.0,266040000.0
NEBRASKA,2013,2363,43769000.0,126010000.0
NEBRASKA,2014,2352,109957000.0,383457000.0
NEBRASKA,2015,1497,235079800.0,72577000.0
NEVADA,2012,241,82153800.0,0.0
NEVADA,2013,208,17693100.0,50000.0
NEVADA,2014,285,13355100.0,5000.0
NEVADA,2015,254,4645600.0,0.0
NEW HAMPSHIRE,2012,229,5276100.0,0.0
NEW HAMPSHIRE,2013,261,11251500.0,0.0
NEW HAMPSHIRE,2014,264,3765000.0,0.0
NEW HAMPSHIRE,2015,187,371000.0,0.0
NEW JERSEY,2012,997,24996806500.0,55000.0
NEW JERSEY,2013,821,3799750.0,300000.0
NEW JERSEY,2014,972,13775250.0,10000.0
NEW JERSEY,2015,861,65600500.0,0.0
NEW MEXICO,2012,1158,34832010.0,5002510.0
NEW MEXICO,2013,1387,20613300.0,4500.0
NEW MEXICO,2014,1238,6051600.0,50000.0
NEW MEXICO,2015,814,410924700.0,5000.0
NEW YORK,2012,1603,36941750.0,3003000.0
NEW YORK,2013,1759,65748000.0,159000.0
NEW YORK,2014,1782,93322500.0,125000.0
NEW YORK,2015,1272,32502250.0,5000.0
NORTH CAROLINA,2012,1915,47056650.0,500.0
NORTH CAROLINA,2013,1237,48276450.0,38000.0
NORTH CAROLINA,2014,1557,54504200.0,116000.0
NORTH CAROLINA,2015,1384,25624350.0,7000.0
NORTH DAKOTA,2012,687,5379100.0,620000.0
NORTH DAKOTA,2013,1148,12841000.0,1840000.0
NORTH DAKOTA,2014,876,21085000.0,5330000.0
NORTH DAKOTA,2015,811,7317000.0,2975000.0
OHIO,2012,1806,135795500.0,193000.0
OHIO,2013,1767,74367000.0,575500.0
OHIO,2014,1473,96945350.0,76000.0
OHIO,2015,1416,37622150.0,780250.0
OKLAHOMA,2012,1857,511182200.0,145000000.0
OKLAHOMA,2013,2212,2022424300.0,468000000.0
OKLAHOMA,2014,1440,9793000.0,0.0
OKLAHOMA,2015,2057,122719900.0,0.0
OREGON,2012,503,30731600.0,33000.0
OREGON,2013,290,8926000.0,100000.0
OREGON,2014,399,3358000.0,0.0
OREGON,2015,381,23718000.0,0.0
PENNSYLVANIA,2012,1685,42771250.0,1500.0
PENNSYLVANIA,2013,1803,24947250.0,15000.0
PENNSYLVANIA,2014,1676,18892750.0,2000.0
PENNSYLVANIA,2015,1470,20544350.0,0.0
PUERTO RICO,2012,136,1570500.0,0.0
PUERTO RICO,2013,224,127900.0,0.0
PUERTO RICO,2014,144,24800.0,0.0
PUERTO RICO,2015,102,14300.0,2100.0
RHODE ISLAND,2012,99,11864500.0,0.0
RHODE ISLAND,2013,63,1981000.0,0.0
RHODE ISLAND,2014,50,157000.0,0.0
RHODE ISLAND,2015,109,513000.0,0.0
SOUTH CAROLINA,2012,1275,8821500.0,560000.0
SOUTH CAROLINA,2013,920,18369000.0,10000.0
